category	file	line	text
fixed-width-integer	clamonacc/scan/thread.c	220	    int32_t ftspopts = FTS_NOCHDIR | FTS_PHYSICAL | FTS_XDEV;
fixed-width-integer	clamonacc/scan/thread.c	223	    int32_t infected    = 0;
fixed-width-integer	clamonacc/scan/thread.c	224	    int32_t err         = 0;
fixed-width-integer	clamonacc/scan/thread.c	229	    int32_t fres = 0;
fixed-width-integer	clamonacc/scan/thread.c	299	        if (event_data->sizelimit && (uint64_t)sb.st_size > event_data->sizelimit) {
fixed-width-integer	clamonacc/scan/thread.c	339	    int32_t infected    = 0;
fixed-width-integer	clamonacc/scan/thread.c	340	    int32_t err         = 0;
fixed-width-integer	clamonacc/scan/thread.c	356	        event_data->bool_opts &= ((uint16_t)~ONAS_SCTH_B_SCAN);
fixed-width-integer	clamonacc/scan/thread.c	360	        if (fres != 0 || (uint64_t)sb.st_size > event_data->sizelimit) {
fixed-width-integer	clamonacc/scan/thread.c	364	            event_data->bool_opts &= ((uint16_t)~ONAS_SCTH_B_SCAN);
fixed-width-integer	clamonacc/scan/thread.h	55	    int64_t portnum;
fixed-width-integer	clamonacc/scan/thread.h	62	    uint64_t sizelimit;
fixed-width-integer	clamonacc/scan/thread.h	63	    int32_t scantype;
fixed-width-integer	clamonacc/scan/thread.h	64	    uint64_t maxstream;
fixed-width-integer	clamonacc/scan/thread.h	65	    int64_t timeout;
fixed-width-integer	clamscan/clamscan.c	63	static void loggBytes(uint64_t bytes)
fixed-width-integer	clamscan/global.h	31	    uint64_t bytes_scanned; /* number of *scanned* bytes */
fixed-width-integer	clamscan/global.h	32	    uint64_t bytes_read;    /* number of *read* bytes */
fixed-width-integer	clamscan/manager.c	1001	    uint64_t fsize            = 0;
fixed-width-integer	clamscan/manager.c	1002	    uint64_t maxfilesize      = 0;
fixed-width-integer	clamscan/manager.c	1003	    uint64_t maxtemporarysize = 0;
fixed-width-integer	clamscan/manager.c	1004	    uint64_t staged_size      = 0;
fixed-width-integer	clamscan/manager.c	1039	    maxfilesize      = (uint64_t)cl_engine_get_num(engine, CL_ENGINE_MAX_FILESIZE, NULL);
fixed-width-integer	clamscan/manager.c	1040	    maxtemporarysize = (uint64_t)cl_engine_get_num(engine, CL_ENGINE_MAX_TEMPORARY_SIZE, NULL);
fixed-width-integer	clamscan/manager.c	1060	        bool size_overflow = UINT64_MAX - fsize < (uint64_t)bread;
fixed-width-integer	clamscan/manager.c	1062	                               (fsize > maxfilesize || (uint64_t)bread > maxfilesize - fsize);
fixed-width-integer	clamscan/manager.c	1064	                                    (fsize > maxtemporarysize || (uint64_t)bread > maxtemporarysize - fsize);
fixed-width-integer	clamscan/manager.c	1074	            if (ret == CL_EMAXSIZE && maxfilesize != 0 && maxfilesize < (uint64_t)INT64_MAX &&
fixed-width-integer	clamscan/manager.c	1325	    uint32_t i             = 0;
fixed-width-integer	clamscan/manager.c	1326	    uint32_t totalNumDots  = 25;
fixed-width-integer	clamscan/manager.c	1327	    uint32_t numDots       = 0;
fixed-width-integer	clamscan/manager.c	1409	    uint32_t i               = 0;
fixed-width-integer	clamscan/manager.c	1410	    uint32_t totalNumDots    = 25;
fixed-width-integer	clamscan/manager.c	1411	    uint32_t numDots         = 0;
fixed-width-integer	clamscan/manager.c	1493	    uint32_t i            = 0;
fixed-width-integer	clamscan/manager.c	1494	    uint32_t totalNumDots = 10;
fixed-width-integer	clamscan/manager.c	1495	    uint32_t numDots      = 0;
fixed-width-integer	clamscan/manager.c	2109	        uint32_t opt_value = opt->numarg;
